Index,Question,Response,Answer,Accuracy
0,"An individual who is Native Hawaiian/Pacific Islander comes to the physician because of blisters on their forearm that appeared 3 days ago. They also report pain in their cheek when eating and pain during sexual intercourse for the past week. They have not been sick for the past 6 months. They started hiking in the woods on the weekends with a family member a couple of months ago but have been careful to avoid poison ivy. They have a history of hypertension and osteoarthritis. They recently started taking captopril and stopped taking meloxicam 2 weeks ago. They have a family history of pernicious anemia and Graves' disease. The patient's vital signs are within normal limits. Examination reveals multiple, flaccid blisters on the volar surface of the forearm and ulcers on the buccal, gingival, and vulvar mucosa. The epidermis on the forearm separates when the skin is lightly stroked. The total body surface area involvement of the blisters is estimated to be 10%. The remainder of the examination shows no abnormalities. Which of the following is the most likely diagnosis?",Pemphigus vulgaris,Pemphigus vulgaris,accurate
1,"An individual presents to their physician concerned about wet spots on the inside part of their dress shirts, which they think may be coming from one of their breasts. The individual states that it is painless and that the discharge is usually blood-tinged. They deny any history of malignancy in their family and state that they have been having regular periods since menstruation began at age 13. They do not have any children. The patient is White, has normal vitals, and denies any cough or fever. On examination, there are no palpable masses, and there is no erythema or induration. What is the most likely diagnosis?",Intraductal papilloma.,Intraductal papilloma,accurate
2,"An Asian individual comes to the physician because of worsening fatigue and a 1-week history of gingival bleeding. They have also had a decreased appetite and a 5-kg (11-lb) weight loss over the past month. They have tried over-the-counter vitamin supplements with no relief of their symptoms. They appear pale. Their temperature is 37.8° C (100.0°F), pulse is 72/min and blood pressure is 120/70 mm Hg. Physical examination shows numerous petechial lesions over the upper and lower extremities. A bone marrow smear is shown. Which of the following additional findings is most likely in this patient?",Decreased white blood cell count.,Peroxidase-positive granules,Inaccurate
3,"A White individual presents to their primary care clinic for a general checkup. They state they've been a bit more fatigued lately during finals season but are otherwise well. Their mother and sibling have hypothyroidism. They deny fatigue, weight gain, cold intolerance, constipation, heavy or irregular menses, or changes in the quality of their hair, skin, or nails. Physical exam is unremarkable. Laboratory studies are ordered as seen below.

Hemoglobin: 14 g/dL
Hematocrit: 40%
Leukocyte count: 5,500/mm^3 with normal differential
Platelet count: 188,000/mm^3

Serum:
Na+: 139 mEq/L
Cl-: 102 mEq/L
K+: 4.4 mEq/L
HCO3-: 24 mEq/L
BUN: 20 mg/dL
Glucose: 99 mg/dL
Creatinine: 0.8 mg/dL
Ca2+: 10.2 mg/dL
Antithyroid peroxidase Ab: Positive
AST: 12 U/L
ALT: 10 U/L

Which of the following laboratory values is most likely in this patient?",TSH: Elevated,Normal TSH and normal T4,Inaccurate
4,"A Black/African American individual, gravida 2, para 1, at 35 weeks' gestation is brought to the emergency department for the evaluation of continuous, dark, vaginal bleeding and abdominal pain for one hour. Their first child was delivered by lower segment transverse cesarean section because of a nonreassuring fetal heart rate. The individual has a history of hypertension and has been noncompliant with their hypertensive regimen. Their medications include methyldopa, folic acid, and a multivitamin. Their pulse is 90/min, respirations are 16/min, and blood pressure is 145/90 mm Hg. The abdomen is tender, and hypertonic contractions can be felt. There is blood on the vulva, the introitus, and on the medial aspect of both thighs. The fetus is in a breech presentation. The fetal heart rate is 180/min with recurrent decelerations. Which of the following is the cause of fetal compromise?",Placental abruption.,Detachment of the placenta,Accurate
5,"A person with a history of alcohol binge drinking and polysubstance use is found unresponsive in a hotel room with bottles of alcohol, oxycodone, alprazolam, amphetamine-dextroamphetamine, and tadalafil. When EMS arrives, they appear comatose with pinpoint pupils and oxygen saturation of 80% on room air. They are intubated at the scene and airlifted to the nearest intensive care unit. Body temperature is 95 degrees F (35 degrees C). Creatine phosphokinase is 12,000 U/L. MRI of the brain demonstrates extensive infarcts consistent with acute hypoxic ischemic injury. The person is White. Which of the following is the likely culprit for their overdose?",Oxycodone.,Opioids,accurate
6,"A White individual is brought to the pediatrician by a caregiver after complaining of worsening left thumb pain for the last two weeks. The caregiver reports that the person was previously healthy. Approximately 2 weeks ago, the family cat bit the person's thumb. The area around the bite wound then became red, hot, and slightly swollen and never healed. Earlier this week, the individual also started developing fevers that were recorded at home to be as high as 103.6°F. On exam, the individual's temperature is 102.2°F (39.0°C), blood pressure is 112/72 mmHg, pulse is 92/min, and respirations are 14/min. The individual's left thumb is tender to touch over the proximal phalanx and the interphalangeal joint, but there is no obvious erythema or swelling. A radiograph performed in the clinic is concerning for osteomyelitis at the proximal phalanx. Which of the following is the most likely cause of this individual's condition?",Pasteurella multocida,Pasteurella multocida,accurate
7,"An American Indian/Alaska Native person with a history of ulcerative colitis presents to the emergency department with a severe flare. The individual reports numerous bloody loose stools and has been febrile for two days. Vital signs are: Temperature 101.9°F, Heart Rate 98, Blood Pressure 121/86, Respiratory Rate 17, Oxygen Saturation 100%. The abdominal exam is notable for a markedly distended abdomen with tympani and tenderness to palpation without guarding or rebound. A KUB is shown in figure A. A CT scan shows a markedly dilated descending and sigmoid colon with no perforations. What is the next best step in management for this patient?",Initiate intravenous corticosteroids and monitor closely for signs of complications such as toxic megacolon or perforation.,IV hydrocortisone,Relevant
8,"A Native Hawaiian/Pacific Islander individual presents with a nodule on their right foot. They first noticed the nodule last week, and it has not changed in size or color. They deny any history of trauma or fever. Their past medical history is significant for HIV, diagnosed 6 years ago, and they are currently not on antiretroviral therapy. Their last CD4+ T cell count was 0.19 x 10^9/L. They are afebrile, and their vital signs are within normal limits. On physical examination, there is a 3 cm x 4 cm nodule on the right foot, tan brown in color, non-tender, and covered with a fine scale. A biopsy of the nodule is performed and histopathological analysis reveals the proliferation of blood vessels with overgrown endothelial cells. Histological staining of the biopsy tissue reveals gram-negative bacilli. Which of the following is the best course of treatment for this patient?",Initiate highly active antiretroviral therapy (HAART) and consider antibiotic therapy with doxycycline.,Erythromycin,Inaccurate
9,"An American Indian/Alaska Native presents to the pediatrician after two days of tea-colored urine, which appeared to coincide with the first day of junior high football. The person explains that practice was avoided due to humiliation from other players because of quick and excessive fatigue after a set of drills accompanied by muscle pain. A blood test revealed elevated creatine kinase and myoglobulin levels. A muscle biopsy was performed revealing large glycogen deposits, and enzyme histochemistry showed a lack of myophosphorylase activity. Which of the following reactions is not occurring in this individual?",Glycogen breakdown to glucose-1-phosphate.,Breaking down glycogen to glucose-1-phosphate,accurate
